language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668959,Sphagnum compactum Lam. & DC.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668960,Sphagnum angustifolium (C.E.O.Jensen ex Russow) C.E.O.Jensen,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668970,Sphagnum russowii Warnst.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668979,Sphagnum fimbriatum Wilson,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668981,Sphagnum subsecundum Nees,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668990,Sphagnum majus (Russow) C.E.O.Jensen,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668995,Sphagnum rubellum Wilson,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2668996,Sphagnum papillosum Lindb.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669001,Sphagnum magellanicum Brid.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669002,Sphagnum fallax (H.Klinggr.) H.Klinggr.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669004,Sphagnum centrale C.E.O.Jensen,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669006,Sphagnum palustre L.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669035,Sphagnum denticulatum Brid.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669053,Sphagnum subnitens Russow & Warnst.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669060,Sphagnum inundatum Russow,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669112,Sphagnum cuspidatum Ehrh. ex Hoffm.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669113,Sphagnum squarrosum Crome,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669115,Sphagnum obtusum Warnst.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669139,Sphagnum quinquefarium (Braithw.) Warnst.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669200,Sphagnum platyphyllum (Lindb. ex Braithw.) Warnst.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669208,Sphagnum contortum Schultz,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669215,Sphagnum fuscum (Schimp.) H.Klinggr.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669222,Sphagnum molle Sull.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669224,Sphagnum teres (Schimp.) Ångstr.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669235,Sphagnum flexuosum Dozy & Molk.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669241,Sphagnum girgensohnii Russow,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2669251,Sphagnum tenellum (Brid.) Pers. ex Brid.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2670130,Seligeria pusilla (Hedw.) Bruch & Schimp.,Plantae,Bryophyta,Bryopsida,Grimmiales,Seligeriaceae,Seligeria,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2670131,Seligeria trifaria (Brid.) Lindb.,Plantae,Bryophyta,Bryopsida,Grimmiales,Seligeriaceae,Seligeria,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2670132,Seligeria calcarea (Hedw.) Bruch & Schimp.,Plantae,Bryophyta,Bryopsida,Grimmiales,Seligeriaceae,Seligeria,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2670136,Seligeria recurvata (Hedw.) Bruch & Schimp.,Plantae,Bryophyta,Bryopsida,Grimmiales,Seligeriaceae,Blindiadelphus,species,
en,https://creativecommons.org/licenses/by/4.0/,APM,my_dataset_doi,APM,Checklist of Bryophytes in Belgium,2670139,Seligeria acutifolia Lindb.,Plantae,Bryophyta,Bryopsida,Grimmiales,Seligeriaceae,Seligeria,species,
